"CPUE_File","Stock","Name","EnglishName","ScientificName","StartYear","EndYear","Resilience","r.low","r.hi","Bk.yr","Bk.pr","Bk.pr.low","Bk.pr.hi","e.creep","Comment","Source","MSY.BSM","MSY.BSM.lcl","MSY.BSM.ucl","r.BSM","r.BSM.lcl","r.BSM.ucl","k.BSM","k.BSM.lcl","k.BSM.ucl","B_Bmsy","B_Bmsy.lcl","B_Bmsy.ucl","F_Fmsy","F_Fmsy.lcl","F_Fmsy.ucl"
"EU_Stocks_CPUE_1.csv","anb-78ab","Black-bellied anglerfish in Divisions VIIb–k and VIIIa,b,d (West and Southwest of Ireland, Bay of Biscay)","NA","Lophius budegassa",1997,2015,"Low",0.29,0.66,1997,"About half","NA","NA","NA",,,8.15,6.93,9.58,0.48,0.39,0.59,68.02,59.21,78.13,1.02,0.75,1.31,1.24,0.97,1.69
"EU_Stocks_CPUE_1.csv","anb-8c9a","Black-bellied anglerfish in Divisions VIIIc and IXa (Cantabrian Sea, Atlantic Iberian waters)","NA","Lophius budegassa",1980,2015,"Low",0.29,0.66,1980,"About half","NA","NA","NA",,,1.96,1.8,2.14,0.38,0.33,0.43,20.8,18.41,23.49,1.12,0.98,1.25,0.47,0.42,0.54
"EU_Stocks_CPUE_1.csv","ane-bisc","Anchovy in  in Subarea VIII (Bay of Biscay) ","NA","Engraulis encrasicolus",1987,2015,"Medium",0.39,0.91,1987,"Very small","NA","NA","NA",,,35.2,29.84,41.53,0.81,0.68,0.97,173.06,140.08,213.82,1.48,1.04,1.78,0.48,0.4,0.69
"EU_Stocks_CPUE_1.csv","ane-pore","Anchovy in Division IXa (Atlantic Iberian Waters) ","NA","Engraulis encrasicolus",2001,2015,"Medium",0.39,0.91,2001,"Small","NA","NA","NA",,,8.16,6.51,10.23,0.78,0.62,0.99,41.81,36.23,48.26,0.6,0.44,0.87,1.97,1.36,2.66
"EU_Stocks_CPUE_1.csv","anp-78ab","White anglerfish in Divisions  VIIb–k and VIIIa,b,d (Southern Celtic Seas, Bay of Biscay)","NA","Lophius piscatorius",1997,2015,"Medium",0.32,0.72,1997,"Small","NA","NA","NA",,,24.75,22.17,27.64,0.67,0.58,0.79,146.71,126.81,169.74,0.81,0.56,0.99,1.25,1.03,1.82
"EU_Stocks_CPUE_1.csv","anp-8c9a","White anglerfish in Divisions VIIIc and IXa (Cantabrian Sea, Atlanic Iberian Waters)","NA","Lophius piscatorius",1980,2015,"Medium",0.32,0.72,1980,"Small","NA","NA","NA",,,6.46,5.61,7.45,0.79,0.66,0.94,32.69,28.39,37.64,0.7,0.33,0.96,0.39,0.28,0.82
"EU_Stocks_CPUE_1.csv","arg-123a4","Greater silver smelt in Subareas I, II, IV, and Division IIIa (Northeast Arctic, North Sea, Skagerrak and Kattegat)","NA","Argentina silus",1996,2014,"Low",0.23,0.62,1996,"About half","NA","NA","NA",,,15.52,11.78,20.45,0.41,0.29,0.56,153.02,119.28,196.3,1.16,0.94,1.69,0.83,0.57,1.03
"EU_Stocks_CPUE_1.csv","arg-5b6a","Greater silver smelt in Divisions Vb and VIa (Faroes grounds, West of Scotland)","NA","Argentina silus",1996,2014,"Low",0.23,0.62,1996,"More than half","NA","NA","NA",,,15.95,13.14,19.36,0.44,0.35,0.56,144.48,125.11,166.86,0.5,0.32,0.67,1.94,1.46,3.04
"EU_Stocks_CPUE_1.csv","arg-icel","Greater silver smelt in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","NA","Argentina silus",2000,2015,"Low",0.23,0.62,2000,"Small","NA","NA","NA",,,9.35,7.68,11.39,0.45,0.36,0.55,83.69,72.4,96.74,0.93,0.69,1.24,0.7,0.52,0.94
"EU_Stocks_CPUE_1.csv","bli-5a14","Blue ling in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)","NA","Molva dypterygia",2000,2015,"Low",0.23,0.52,2000,"Small","NA","NA","NA",,,3.81,3.23,4.5,0.47,0.38,0.58,32.19,26.04,39.79,0.7,0.5,0.88,0.68,0.54,0.96
